log_path,log_date,rom_rev,confidence,note
5-23 20.14/log0003.csv,2026-05-23,20.14,high,3rd log on 20.14 (BIG way-home drive; 253 min; 21 psi WOT; 699 FBKC events min -8.05; FLKC LATCHED -1.0)
5-25 20.15/log0001.csv,2026-05-25,20.15,high,1st log on 20.15 (tip-in fix verification - throttle gate 2.0->0.85% IPW gate 1.32->1.0ms applied counter 3->5 BE axis 0-6.7253psi); cold-start gas-station: Dean drove off before CL/OL=7 finished so wbo2 not fully warm in early portion
5-26 20.15/log0001.csv,2026-05-26,20.15,high,2nd log on 20.15 (26.3 min n=38 warm tip-ins; tip-in fix appeared -40 to -51% but 5-28 n=1816 shows actual improvement is ~18% overall)
5-28 20.15/log0001.csv,2026-05-28,20.15,high,3rd log on 20.15 (164.2 min big cruise drive; n=1816 tip-ins confirms ~18% overall lean-spike reduction vs 20.14 L3; AVCS healthy p95=21; AFL drifted to median -2.34; FLKC transient to -1.75 in 3400-3800 OL high-load zone)
5-30 20.16/log0001.csv,2026-05-30,20.16,high,"1st log on 20.16 (48.8 min; CATASTROPHIC -11.80 FBKC twice in 2200-3300x1.0-1.4 ghost zone @156 samp/min = 6.4x vs 20.15, driven by raised Target Boost spooling into un-protected cells; IDC saturated >100% at partial-throttle 4923 RPM = injector limit; IAM/FLKC stayed clean; AFL steady -2.34; flashed build md5 b8bd7091 differs from anchor)"
6-3 20.17/log0001.csv,2026-06-03,20.17,high,"7-session commute 64min sampled; peak mrp 14.35psi (NO real boost - top-end intent UNTESTED); valid data AVCS p95 20 IAM 1.0 all-drive FLKC 0 IDC peak 72.6%; none of 20.16 P0s reproduced; used for tip-in cusp-knock deep dive: 10 knock-fires at 1600-3000xload1.0 max -2.8deg, TRANSIENT-bound (0 steady knock), fires at near-commanded mixture ~0.5s after acute lean - probably NOT a fuel deficit (20.x runs more tip-in than stock on every lever yet stock had 0 cusp transient knock); 20.17a BE-comp 0xCD14C low-BE reshape staged as single-var test"
6-5 20.17a/log0001.csv,2026-06-05,20.17a,high,"1st log on 20.17a (32.3min ONE continuous segment; AVCS p95 20 IAM 1.0 FLKC 0 IDC peak 70.4%; peak mrp 13.77psi - NO real boost 3rd log running, top-end UNTESTED). AS-DRIVEN bin had BE-comp lift PLUS accidental decel-tier change 0xCC4EC 2250/3000/4500->1000/2000/3500 (reverted post-drive, on-disk bin now BE-comp-only). G1 cusp stab-lean 2.24->2.08 (real non-DFCO 1.76) FAIL despite tip-in firing +2.05ms IPW - lean is wall-wetting not fuel deficit; G2 no real cusp knock deeper than -1.4 shift-filtered (deep -8.40 is overrun noise at -1.2psi vacuum); cusp residency only 0.59min (low power vs 6-3 1.63); DECISIVE: cusp lean/knock NOT a tip-in fuel deficit - move to load/timing/AVCS substrate"
6-7 BIG 20.17a fixed/log0001.csv,2026-06-07,20.17a,high,"502min BIGGEST log; fixed bin verified (BE-comp-only vs 20.17; decel tiers restored vs 6-5 oopsie). Decel revert CONFIRMED killed deep overrun FBKC (0.124->0.016/min). Cusp at 12x power: non-DFCO stab-lean 1.71 unchanged (fuel theory dead); STEADY cusp fires real 1.70/min incl -8.05 chain at 2140-2270x1.15 -> substrate next. FIRST real boost: 19.7psi peak, knock-free 17-19psi, wbo2 10.6, tracking -3.5psi under target; IDC 85.5% at 57% throttle = injector ceiling measured. FLKC transient cluster -1.0 highway 2800-3250x1.2-1.5 recovered. AFL drift reproduces: 0->-2.34 re-learn. AVCS p95 23 IAM 1.0."
6-13 17a leak fix/log0001.csv,2026-06-13,20.17a,high,"Pre-charge-leak-fix drive (leak found via smoke test after); PCV lean leak also still present (fixed 6-16..6-21 window)"
6-13 17a leak fix/log0002.csv,2026-06-14,20.17a,medium,"8.1 min sealed-result log after 2 charge leaks fixed; boost-per-wgdc 0.229->0.282, IDC peak 97.4% @4888/21psi, peak mrp 21.89; date medium-confidence (anchor said 6-13, mtime 6-14 17:04)"
6-13 17a leak fix/log0003.csv,2026-06-14,20.17a,high,"Cruise log; matched-cell AFL walk analysis (held -2.34)"
6-13 17a leak fix/log0004.csv,2026-06-14,20.17a,high,"Cruise log; AFL stepped -2.34->-5.47 in 1.6-2.2V band (pre-PCV-fix era)"
6-15/log0001.csv,2026-06-15,20.17a,high,"18.1 min cruise; AFL deeper walk CONFIRMED -6.25 in 1.6-2.2V (pre-PCV-fix era, last leak-era log)"
6-21 pcv fix 20.18/6-21 6 logs combined.csv,2026-06-21,20.18,high,"FIRST clean-PCV log + first 20.18 log (kitchen-sink rev: MAF rescale + load comp + WGDC + tau + knock window B). 275207 samples/183.5min. Idle over-read resolved (+0.78%); cruise trim -2.34 unchanged; peak mrp 22.03; IDC 93.7%; 48 FBKC first-instance, worst -11.8; FUELING-ERA BOUNDARY: fueling trends break here vs <=6-15 logs"
7-12 20.18/7-12 20.18.csv,2026-07-12,20.18,high,"2nd 20.18 log, hot day (IAT med 97 max 149) + AC. 408951 samples/272.6min. IDC 114.9% @6052rpm/18.7psi knock-free; rect fires 1.97->3.41/min vs 6-21, FLKC 518 decs floor -1.75 recovered; 8/12 deep FBKC = DFCO-resume family; AFL recovering -1.56->0 but total cruise trim -2.34; driven-bin verified 20.18 via AVCS discriminator"
7-15 20.18a/7-15 20.18a.csv,2026-07-15,20.18a,high,"FIRST 20.18a (AVCS carve) log: 6 short around-town segs 31.5min, warm (IAT med 88-106). Driven-bin verified via cam discriminator (+0.36 vs 18a, -10.07 vs 18). No reflash lockout (p95 16-20). 0 fires rect/ghost (0.85/1.24min res) FBKC min -1.4 FLKC 0 zero deep; LEANS knock-drop NOT callable; steady VE cost nil; total CL trim -1.56; decisive log = highway 5th-gear >=8min rect"
7-16 20.18a/7-16 20.18a.csv,2026-07-16,20.18a,high,"2nd 20.18a log, COOL day (IAT med 77) 2 segs 18.1min. 2 fires both -1.4 trivial (5th-gear roll-in ghost + DFCO-resume rect), 0 deep, FLKC 0. Pooled carve rect 1 onset/1.54min vs 1.97-3.41 baseline (P .19/.03). Pedal cost confirmed: carved cells +2-4 APP pts at matched RPM x MAF, control cells flat. Total CL trim -1.56 holds. Driven-bin verified (core cam med 10.0)"
7-17 20.18a/7-17 20.18a.csv,2026-07-17,20.18a,high,"First highway 20.18a log ~98.7min IAT med 84; backstop clean (AFL settled, FLKC 0, IAM 1.0, no boost coverage); carve rect clean; one -4.2 deep TRACED to 2nd-gear tip-in on AVCS 0->12 ramp (lean tip-in+cam-transit) NOT carve knock; driven-bin cam@box 10.0"
7-17 2 20.18a/7-17 2 20.18a.csv,2026-07-17,20.18a,high,"2nd drive same day WARM IAT med 93/max 138, 45% >50mph; carve rect 5 fires ALL -1.4 zero deep incl knock-free 17.8psi/4846rpm pull (first real 20.18a load); cruise total trim ->0 but HOT (heat vs relaxation unresolved here); IDC 85.0% on pull; driven-bin cam@box 10.0"
7-18 20.18a/7-18 20.18a.csv,2026-07-18,20.18a,high,"CLEANED (de-duped: 7-18 log0001-04 were byte-identical re-copies of 7-17#2, moved to _to_delete; rebuilt from log0005-0011). 244.3k samp/162.9min 7 segs, IAT med 86/cruise 79 MODERATE. CARVE HOLDS UNDER LOAD: 23 boost events to 22.5psi ALL knock-free (1 event -1.4 floor only); 28 onsets all -1.4, FLKC 0, IAM 1.0 driving; IDC 100.5% peak (over-static 4858rpm/20psi/51%thr partial); MAF-V 4.32<4.8. WATCH1 answered: matched cruise trim ~0 at cool 79F vs 7-16 -1.56 at 77F = REAL relaxation not heat (residual -2.34 at 2.2V cell); cam@box 10.0"
7-19 20.19/7-19 20.19.csv,2026-07-19,20.19,high,"FIRST 20.19 log (flashed+driven). 234.5k samp/156.3min, WARM-HOT highway IAT med 86/max 154 ECT max 205. 20.19 changeset vs 18a (verified binary diff, 273B/8 clusters): base timing all-4 (Primary Cruise 0.94 +0.35-0.70, 1.44 -0.35..-1.05, 1.20 ~flat) + KCA Adv Max Cruise+NC (1.20 col +0.70 @2200+, 1.44/1.67 +0.70 & 1.90 +0.35 @4000+) + Timing Comp A(IAT) idx5-15 thermal retard rolled back +1.41 UNIFORM 50-230F (~20.8 curve) + checksum; AVCS carve/MAF/Target Boost byte-identical. Driven-bin confirmed via dip timing signature +2-3 vs 18a (cruise dip 2600-3300x0.94: 17.0->19.0 @80-100F, 17.5->20.5 @60-80F); avcs p95=20 no lockout. TARGET dip give-back LANDED. COST: FIRST FLKC learning since the carve (flkc_min -1.0, 39 decrements) concentrated at 3200 RPM x load 0.90-1.35 = give-back cells + steepened 0.94->1.20 base cliff (-5.98->-6.68 @1900); FBKC min -2.8 (lone event 1600x1.12 on boundary); no deep knock, IAM 1.0. A(IAT) GLOBAL rollback UNTESTED at its real risk: Throttle>90 & mrp>8 = 0 samples, boost brief blips IAT max 106, no top-end (RPM max 5742). Needs hot WOT next log. Backstop clean: matched total trim 0.0 (=7-18), AVCS cruise osc 0.19%, MAF-V 4.26<4.8, boost tracks (wgdc max 80). IDC peak 104.3% @4746/load3.68/65%thr (up from 100.5, injector limiter). OL boost-rich 3.2-3.6V corr -4.95% (vs -6.32). Method validated vs 7-18 stored (exact). Bin md5 8278a9b3."
7-26 20.19b/7-26 20.19b.csv,2026-07-26,20.19b,high,"FIRST 20.19b log (flashed+driven). 85.9k samp/57.2min typical around-town + 10 boost events to 20.7psi/5493rpm knock-free (min FBKC -1.4); post-reflash relearn (matched trim unsettled); A(IAT) hot-WOT + rev-hang lever undertested. See current_rev_anchor."
7-29 20.19c/7-29 20.19c.csv,2026-07-29,20.19c,high,"20.19c focused MAF/comp log, 25.9min cruise+roll-ons. NOT relearn floor; cruise CL trim ~0. 2.5-2.9V rich is eff-OL/injector-confounded not cruise over-read. Boost mild mp<=1.9, MAF-V 3.12, no sustained WOT. 19c vs 19b (243B): MAF c13/c35/c36 (c35 raised WRONG way), idle-decel adder, UNDECODED boost tables 0xC0D/0xC12/0xC14 + 0xD4773 region. See current_rev_anchor."
8-2 20.19c/8-2 20.19c.csv,2026-08-02,20.19c,high,"BIG HOT drive 279.7k samp/186.5min. IAT med99/p95 138/max153, ECT max210. SETTLED (not relearn): cruise matched trim ~0 (AFL&AFC med 0.0 n=205k; by-MAF-V within +-1.6%) = 19b/19c MAF+comp cuts landed. Clean: IAM 1.0 & FLKC 0 whole drive. Knock = ONE shallow ~3s FBKC event (-2.8) at 1779rpm/load1.0/IAT127 low-rpm tip-in, self-recovered = A(IAT) rollback hot-side low-rpm cost (same cell cool<95F=18deg 0knock vs hot>120F=15.5deg 37samp). Boost knock-free (0 FBKC in 50 hot-boost>120F). FLKC give-back zone 3200x0.90-1.35 WELL provoked 2.8min ZERO knock=give-back holds. Boost late-spool turbo char; peak mp18.3@4500 part-throttle(51%) UNDER target no overboost, wgdc<=80 not maxed at peak. IDC peak 85.3 no ceiling. MAF-V 4.08. Top-end thin (11.5s>4500rpm, 36s>1.5load). See current_rev_anchor+REVIEW_LOG."
8-4 20.19c/8-4 20.19c.csv,2026-08-04,20.19c,high,"LOGGER-CONFIG log (first full-25Hz CL/OL/AFL/MPH/IAT - cadence-era boundary). 64.9k samp/43.3min cold-start suburban, IAT med 82 max 108, NO boost (mrp max 5.94, load max 2.04, Throttle max 52.6). Backstop clean: 1 trivial FBKC onset -1.4, FLKC 0 (0 decrements), IAM 1.0, IDC max 53.3, MAF-V 3.54, AVCS p95 20. Per-V trim tilt present but mild: 1.6V +1.56 lean / 2.2V -3.13 rich. Closes nothing on the punch list."
8-4 2 20.19c/8-4 2 20.19c.csv,2026-08-04,20.19c,high,"2nd 8-4 drive, EVENING HOT: 72.7k samp/48.5min, IAT med 104/p95 133/max 147, ECT max 199. First log with real residency (10.5s vs 1.9s on 8-2) in 3900-4700rpm x load 1.9-3.3 -> reads PRE-LEARNED FLKC RETARD -0.25..-1.00 across 4000-4600 x 2.0-3.2 (12 'decrements' are all cell TRAVERSAL, 0.25 steps in consecutive 40ms samples, zero FBKC within 3s = lookups not in-drive learning; learning event is in unlogged driving after 8-2). Overlaps the 19c base-timing ADD band (3700-4800 x 1.9-2.83) + target-boost raise. Still NO sustained WOT (Throttle>=95 max run 0.08s, all boost part-throttle 33-55%); 9 boost events, peak mrp 18.12 @4756rpm 48% thr, delta-to-target -1.1..-2.5 psi at 4200-4800 so the raised ~20psi target is NOT yet tested. FUELING: per-V tilt WORSENED - 1.5V +5.47 / 1.6V +4.69 / 1.7V +3.91 LEAN vs 2.1-2.4V -1.56..-2.34 rich; matched-band -1.56 (vs 8-2 -0.78). 1 trivial FBKC -1.4 at 2735rpm x load 1.01, IAT 106, CL->OL boundary, 5th-gear light throttle = 2nd instance of the A(IAT) hot-side low-load class (8-2's was 1779rpm x 1.01, IAT 127). IAM 1.0, IDC max 77.6 (0s>85), MAF-V 4.04, AVCS p95 20 no lockout."
8-8 20.19c/8-8 20.19c.csv,2026-08-08,20.19c,high,"FIRST held-WOT log on 19c. 37.9k samp/25.3min, IAT med 93/max 115, ECT max 205. 4-pull WOT run through gears at t~110s (ECT 165-168 not fully warmed, IAT ~91): boost ON TARGET - made 21.9 @4800 vs ask 22.1, 20.9 @5200 vs 21.4, peak mrp 22.32 vs tgt 22.38, NO overshoot, wgdc max 76 not pegged = 19c +2psi target raise VALIDATED at moderate IAT (high-IAT WOT still open). IDC peak 106.4 @6315rpm (3 samp >100, 3.6s >85) = injector ceiling again. FLKC 0 ENTIRE LOG incl 6.5s residency in 3900-4700 x 1.9-3.3 - the 8-4#2 learned -0.25..-1.00 zone reads CLEAN and took real WOT hits knock-free. Knock: 6 shallow FBKC events, all -1.4, IAM 1.0; 4 of 6 within 2s of a fuel-cut resume (shift/DFCO-resume transient class); 1 light-load instance 1914x1.10 IAT 102 in CL. Fueling: light-load lean RECEDED at cooler IAT (cruise total trim 1.5V +2.34 / 1.6V +0.78 / 1.7V 0.00 vs 8-4#2 +5.47/+4.69/+3.91) - consistent w/ charge-temp hunch; mid-band 2.0-2.4V total trim -3.12 rich (my cruise filter; see scorecard for canonical matched). MAF-V max 4.28, AVCS p95 20, rev to 6626 knock-free."
8-14 weekend 20.19c/8-14 weekend 20.19c.csv,2026-08-14,20.19c,high,"WEEKEND multi-segment 221.8k samp/147.9min, 7 source logs (log0003-0011), 4 occupants part of the time. NOTE: raw log0001/log0002 in this folder were sha256-identical SD re-copies of the 8-8 drive (37,878 rows) - removed to logs/_stale_from_8-8/ and the combine REBUILT 2026-08-16 before ingest. Deepest FBKC on 19c to date: -4.20 at 3151rpm x load 1.49, IAT 78.8, ECT 176, 80mph, 34% throttle, mrp +3.0, CL->OL, on a 12s progressive highway roll-on (NOT a tip-in/resume transient). ECU then LEARNED FLKC -0.25..-1.00 into 2900-4300 x load 1.4-2.8 (reads back on every later traversal, 291 samples) = issue #2 REOPENS in a new lower band. 12 FBKC onsets total, 11 shallow -1.4. Fueling: matched-point total trim back to ~0.00 (vs 8-8 -3.13) = the rich drift did NOT continue; AFL relearned UP to +1.56/+2.34 with AFC offsetting. Light-load lean back at 1.6V +3.12 / 1.7V +3.91 at IAT 88-91 - AGAINST the charge-temp hunch (8-8 was +0.78/0.00 at IAT 93). IAT max 165.2 (low-speed heat soak, log0007), ECT max 204.8. IDC max 87.9, MAF-V max 4.04, IAM 1.0 whole drive, no sustained WOT (mrp max 18.84, RPM max 5244)."
